Court Advantage, Opponent, W/L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, STL, BLK, TOV, PF, PM
Away,LAL,W,27,22,9,14,64.3,4,7,57.1,0,0,0.0,0,3,3,6,1,0,0,3,2
Home,OKC,L,35,17,6,15,40.0,2,8,25.0,3,3,100,1,3,4,9,1,0,3,4,3
Home,POR,W,31,27,11,19,57.9,3,8,37.5,2,2,100,0,4,4,5,0,0,2,2,1
Home,WAS,W,33,8,3,11,27.3,2,9,22.2,0,0,0.0,0,2,2,6,0,0,1,2,11
Home,CHI,W,28,13,4,12,33.3,3,9,33.3,2,2,100,0,4,4,10,4,0,3,1,20
Away,POR,W,32,22,6,16,37.5,5,10,50.0,5,6,83.3,3,5,8,6,0,0,0,2,8
Away,MIN,W,35,18,4,8,50.0,1,3,33.3,9,10,90.0,1,7,8,9,1,0,3,2,3
Away,NOP,W,33,21,8,19,42.1,3,6,50.0,2,2,100,1,8,9,5,2,1,2,2,7
Home,LAC,W,32,11,3,13,23.1,0,6,0.0,5,6,83.3,1,3,4,3,0,0,3,2,-10
Home,SAS,W,23,18,8,11,72.7,2,4,50.0,0,0,0.0,1,2,3,9,1,0,1,1,19
Away,DAL,W,30,24,9,18,50.0,4,7,57.1,2,2,100,0,5,5,12,0,0,2,4,31
Away,TOR,L,33,14,5,13,38.5,0,3,0.0,4,4,100,0,3,3,3,3,0,2,4,-6
Away,MIL,W,34,16,5,12,41.7,1,6,16.7,5,5,100,0,5,5,11,0,0,2,2,11
Away,OKC,W,33,25,7,14,50.0,5,6,83.3,6,6,100,0,4,4,5,3,0,2,2,11
Home,BOS,W,35,15,5,11,45.5,1,4,25.0,4,4,100,0,1,1,7,1,0,1,5,-7
Away,LAC,W,29,8,3,12,25.0,1,5,20.0,1,1,100,0,4,4,8,2,1,4,3,21
Away,UTA,W,34,15,5,13,38.5,1,4,25.0,4,4,100,1,5,6,7,3,0,2,2,15
Away,DEN,W,32,23,6,14,42.9,2,7,28.6,9,10,90.0,2,3,5,6,2,0,3,1,-4
Home,MIN,W,33,14,5,11,45.5,0,5,0.0,4,4,100,1,9,10,8,1,0,3,1,9
Home,SAC,W,31,19,6,11,54.5,3,7,42.9,4,4,100,1,3,4,7,2,0,4,1,-6
Away,MIN,W,34,13,5,11,45.5,1,5,20.0,2,3,66.7,2,6,8,7,1,1,2,1,22
Home,DAL,W,35,25,9,15,60.0,2,7,28.6,5,6,83.3,0,8,8,9,3,0,2,1,22
Home,DEN,W,22,11,3,8,37.5,0,4,0.0,5,5,100,0,0,0,7,2,0,0,3,25
Away,MIA,W,36,24,10,19,52.6,3,8,37.5,1,2,50.0,0,7,7,7,1,0,1,1,-1
Away,BKN,W,34,25,9,15,60.0,4,8,50.0,3,3,100,1,6,7,5,2,0,3,2,13
Away,CLE,W,27,22,8,14,57.1,6,9,66.7,0,0,0.0,1,7,8,11,1,0,0,4,47
Away,SAS,W,30,10,5,14,35.7,0,3,0.0,0,1,0.0,0,2,2,2,2,0,3,3,-6
Home,PHX,W,27,17,4,8,50.0,0,1,0.0,9,9,100,0,2,2,5,0,0,0,2,5
Away,NOP,L,34,38,11,19,57.9,4,5,80.0,12,12,100,0,3,3,8,1,0,0,6,1
Away,DAL,W,30,12,3,12,25.0,3,8,37.5,3,4,75.0,0,7,7,4,2,0,2,3,7
Home,MIA,W,36,16,6,13,46.2,3,5,60.0,1,1,100,1,5,6,6,3,0,3,1,12
Home,GSW,W,35,33,10,20,50.0,6,11,54.5,7,8,87.5,1,10,11,7,3,0,4,1,6
Home,MIN,W,35,19,6,12,50.0,4,8,50.0,3,4,75.0,0,6,6,9,3,0,2,1,23
Away,LAC,L,35,19,8,17,47.1,3,10,30.0,0,0,0.0,0,6,6,7,0,1,1,2,-10
Away,PHX,W,27,25,9,18,50.0,2,6,33.3,5,7,71.4,2,6,8,6,0,2,0,0,8
Home,POR,W,33,37,13,29,44.8,3,11,27.3,8,8,100,1,6,7,11,3,0,2,4,4
Away,CHI,W,36,24,8,17,47.1,3,11,27.3,5,5,100,1,7,8,9,2,1,6,3,0
Away,DET,L,35,16,5,10,50.0,3,8,37.5,3,3,100,1,6,7,13,2,0,5,2,0
Home,GSW,L,36,28,10,21,47.6,5,10,50.0,3,3,100,1,6,7,9,0,0,5,5,0
Away,ORL,W,32,8,3,13,23.1,1,4,25.0,1,1,100,2,5,7,13,2,0,3,2,23
Home,LAL,W,42,28,8,20,40.0,3,10,30.0,9,9,100,0,5,5,10,0,0,2,5,4
Away,WAS,L,26,8,3,11,27.3,2,5,40.0,0,0,0.0,0,1,1,6,2,0,1,2,-16
Home,LAL,L,25,8,2,7,28.6,1,5,20.0,3,3,100,0,5,5,5,0,0,3,3,-16
Home,UTA,W,35,18,6,13,46.2,3,9,33.3,3,4,75.0,2,8,10,10,1,2,2,3,20
Home,MIL,W,36,25,7,13,53.8,3,8,37.5,8,8,100,0,5,5,6,1,0,6,3,7
Home,SAS,W,32,28,10,18,55.6,5,9,55.6,3,3,100,0,4,4,8,7,1,3,3,29
Home,CHA,W,35,31,10,18,55.6,5,9,55.6,6,6,100,2,5,7,11,2,0,3,3,19
Home,NOP,W,33,20,8,16,50.0,3,9,33.3,1,2,50.0,0,9,9,6,3,1,2,2,4
Away,POR,W,35,26,8,14,57.1,1,4,25.0,9,10,90.0,0,3,3,7,2,0,3,2,14
Away,UTA,W,37,18,7,14,50.0,2,5,40.0,2,2,100,1,8,9,13,3,1,2,3,12
Away,LAL,W,33,21,8,17,47.1,4,7,57.1,1,1,100,0,4,4,6,2,0,5,5,8
