Court Advantage, Opponent, W/L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, STL, BLK, TOV, PF, PM
Home,UTA,W,37,36,13,25,52.0,4,10,40.0,6,6,100,0,1,1,10,1,0,0,0,10
Away,DEN,L,40,25,8,22,36.4,2,10,20.0,7,11,63.6,1,3,4,3,1,0,3,3,-9
Away,SAS,L,35,33,11,22,50.0,6,12,50.0,5,5,100,2,1,3,5,0,0,7,0,-18
Away,DAL,L,35,29,6,20,30.0,2,10,20.0,15,15,100,1,4,5,8,2,1,0,2,-4
Home,MEM,W,33,27,7,15,46.7,2,8,25.0,11,11,100,1,2,3,9,2,0,0,0,37
Home,LAC,W,38,17,5,16,31.3,2,10,20.0,5,6,83.3,1,6,7,11,0,0,2,2,9
Away,NOP,W,42,41,18,33,54.5,3,9,33.3,2,2,100,2,7,9,6,4,0,0,3,8
Away,OKC,W,38,24,6,19,31.6,1,7,14.3,11,11,100,5,2,7,5,3,0,2,1,16
Home,BOS,L,39,26,9,22,40.9,4,11,36.4,4,4,100,2,1,3,8,0,0,2,2,1
Home,HOU,L,36,20,5,17,29.4,0,7,0.0,10,10,100,0,4,4,6,1,0,1,3,6
Away,LAC,W,31,23,6,13,46.2,2,6,33.3,9,9,100,0,0,0,2,1,0,1,0,23
Home,DET,W,37,24,6,19,31.6,3,10,30.0,9,9,100,3,4,7,8,1,3,1,1,23
Home,CLE,W,36,24,7,20,35.0,1,8,12.5,9,9,100,0,3,3,9,1,0,2,0,-1
Home,MIA,W,37,32,8,19,42.1,7,14,50.0,9,10,90.0,1,4,5,10,0,0,3,0,25
Home,GSW,W,37,28,8,21,38.1,4,10,40.0,8,8,100,1,3,4,8,0,0,3,2,11
Home,NYK,W,32,37,10,18,55.6,8,11,72.7,9,11,81.8,1,1,2,1,2,0,2,1,14
Away,LAL,W,39,39,12,25,48.0,6,11,54.5,9,12,75.0,1,4,5,6,0,0,4,2,6
Home,OKC,W,37,20,5,18,27.8,2,8,25.0,8,9,88.9,0,1,1,7,1,1,3,2,-1
Home,MIN,W,38,35,9,22,40.9,4,12,33.3,13,16,81.3,3,4,7,4,1,0,1,1,9
Home,SAC,W,34,26,11,19,57.9,4,8,50.0,0,0,0.0,0,1,1,12,2,0,4,1,14
Away,PHX,W,39,40,13,27,48.1,3,11,27.3,11,15,73.3,2,8,10,5,1,0,4,2,6
Away,UTA,W,37,24,7,18,38.9,2,7,28.6,8,8,100,0,4,4,3,1,0,4,0,15
Home,GSW,W,40,44,14,25,56.0,4,11,36.4,12,12,100,0,3,3,8,2,0,4,3,17
Home,UTA,L,39,39,12,25,48.0,2,8,25.0,13,13,100,1,2,3,1,0,1,2,2,-10
Away,SAC,W,29,50,16,26,61.5,8,13,61.5,10,10,100,0,1,1,6,3,0,2,2,18
Home,CHA,W,42,18,6,22,27.3,3,11,27.3,3,3,100,0,4,4,8,1,0,4,2,4
Away,DET,L,38,20,8,17,47.1,1,5,20.0,3,3,100,1,4,5,5,2,1,5,2,-12
Away,BOS,L,37,21,6,19,31.6,2,9,22.2,7,8,87.5,1,5,6,9,0,1,2,0,0
Away,TOR,L,37,32,11,18,61.1,3,7,42.9,7,8,87.5,0,3,3,10,0,1,2,1,-17
Home,CHI,W,30,13,5,9,55.6,1,5,20.0,2,2,100,1,3,4,7,0,1,2,2,23
Away,LAC,W,36,28,6,14,42.9,5,10,50.0,11,11,100,0,4,4,7,3,1,2,1,11
Away,DAL,W,36,29,9,18,50.0,3,8,37.5,8,11,72.7,0,3,3,3,0,0,4,2,14
Home,MIN,W,32,31,9,17,52.9,6,11,54.5,7,7,100,1,3,4,6,0,0,0,2,11
Away,DEN,L,38,25,10,18,55.6,4,8,50.0,1,2,50.0,0,2,2,8,0,0,3,2,-8
Home,DAL,W,38,31,10,15,66.7,7,9,77.8,4,4,100,0,5,5,9,0,0,4,2,13
Home,IND,W,40,26,8,21,38.1,2,8,25.0,8,8,100,1,4,5,8,0,1,3,0,10
Home,PHX,W,36,31,11,19,57.9,4,8,50.0,5,5,100,0,5,5,7,1,0,1,1,11
Away,MIN,L,35,21,7,14,50.0,2,6,33.3,5,6,83.3,0,6,6,8,1,0,6,3,-23
Away,NOP,L,38,23,9,22,40.9,2,11,18.2,3,4,75.0,1,1,2,8,3,0,2,3,5
Away,HOU,L,32,29,9,16,56.3,1,6,16.7,10,12,83.3,0,5,5,8,2,0,2,2,-4
Home,ATL,W,29,14,6,15,40.0,2,6,33.3,0,0,0.0,0,4,4,6,2,1,4,2,16
Away,CLE,L,33,25,8,15,53.3,6,9,66.7,3,4,75.0,0,0,0,6,1,0,7,2,-9
Home,SAS,L,34,17,6,17,35.3,2,6,33.3,3,3,100,0,4,4,3,2,0,2,3,3
Away,MIN,L,37,17,7,18,38.9,2,7,28.6,1,1,100,0,8,8,13,0,1,6,2,-3
Away,CHA,W,38,18,7,19,36.8,3,9,33.3,1,2,50.0,1,6,7,11,1,0,6,0,2
Away,ORL,W,36,21,7,16,43.8,3,6,50.0,4,4,100,1,1,2,4,2,1,4,3,-9
Away,MIA,W,37,18,5,14,35.7,1,6,16.7,7,7,100,0,3,3,6,0,0,1,1,2
Away,GSW,L,42,39,12,28,42.9,5,13,38.5,10,11,90.9,0,4,4,2,2,0,0,5,-2
Home,HOU,L,38,35,11,23,47.8,9,16,56.3,4,4,100,0,4,4,6,1,0,5,3,-2
Home,WAS,L,43,30,10,23,43.5,3,9,33.3,7,7,100,1,7,8,9,0,0,4,2,-5
Home,NOP,L,40,29,11,25,44.0,4,11,36.4,3,3,100,1,4,5,8,1,0,1,1,-7
Home,MIL,L,40,18,7,16,43.8,2,7,28.6,2,3,66.7,2,5,7,7,0,0,5,1,-12
Away,NYK,W,38,32,10,20,50.0,1,6,16.7,11,11,100,0,1,1,5,1,0,3,0,14
Away,WAS,W,41,29,9,17,52.9,2,8,25.0,9,10,90.0,0,6,6,6,0,1,5,2,15
Away,BKN,W,37,34,10,19,52.6,4,6,66.7,10,11,90.9,1,3,4,9,1,1,3,3,3
Away,PHI,L,37,30,11,27,40.7,6,13,46.2,2,3,66.7,0,3,3,2,1,1,3,0,-15
Away,MEM,W,34,21,5,15,33.3,1,4,25.0,10,10,100,0,3,3,4,0,0,2,1,-1
Home,SAC,W,34,22,8,18,44.4,1,7,14.3,5,6,83.3,1,1,2,6,1,1,2,1,20
Away,SAC,L,37,29,9,24,37.5,5,14,35.7,6,6,100,0,1,1,4,1,1,1,0,8
