Court Advantage, Opponent, W/L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, STL, BLK, TOV, PF, PM
Home,BOS,W,36,29,9,16,56.3,4,5,80.0,7,9,77.8,0,7,7,12,3,3,7,5,3
Away,CLE,L,38,28,10,20,50.0,2,5,40.0,6,6,100,0,4,4,14,3,0,6,2,-12
Away,HOU,L,33,9,3,10,30.0,1,3,33.3,2,4,50.0,0,4,4,10,1,0,8,2,-18
Home,CHA,W,33,15,6,17,35.3,2,6,33.3,1,1,100,2,1,3,14,1,0,4,2,16
Away,OKC,L,35,21,7,16,43.8,5,10,50.0,2,2,100,0,1,1,12,2,1,5,2,1
Away,DAL,L,36,11,4,16,25.0,0,4,0.0,3,4,75.0,1,3,4,5,0,2,4,1,-1
Away,DET,W,37,16,6,15,40.0,2,5,40.0,2,3,66.7,0,3,3,11,1,0,5,2,5
Away,CHA,L,24,12,5,11,45.5,2,2,100,0,0,0.0,0,2,2,9,0,2,3,2,-20
Home,MIL,L,41,27,7,22,31.8,1,3,33.3,12,13,92.3,0,4,4,9,3,2,4,2,-4
Home,BKN,W,40,23,9,24,37.5,0,2,0.0,5,6,83.3,0,3,3,16,2,0,8,1,6
Home,ORL,W,36,30,13,21,61.9,1,2,50.0,3,5,60.0,0,3,3,9,1,3,4,1,-3
Home,UTA,L,42,35,14,27,51.9,3,6,50.0,4,7,57.1,2,4,6,11,3,1,8,1,-3
Home,MIL,L,42,16,5,19,26.3,1,2,50.0,5,6,83.3,0,3,3,16,1,1,6,2,1
Away,MEM,W,36,25,8,16,50.0,3,5,60.0,6,8,75.0,2,1,3,9,4,1,4,0,2
Home,NYK,W,34,25,9,18,50.0,1,3,33.3,6,9,66.7,1,2,3,9,1,1,3,0,27
Home,CHI,W,41,21,6,20,30.0,2,7,28.6,7,9,77.8,2,5,7,9,1,4,3,4,10
Home,HOU,W,31,17,7,10,70.0,2,4,50.0,1,2,50.0,0,2,2,4,5,0,4,3,13
Away,ATL,L,34,10,3,9,33.3,0,2,0.0,4,7,57.1,0,1,1,11,0,0,2,3,-16
Away,BOS,W,39,21,8,19,42.1,0,3,0.0,5,7,71.4,1,4,5,14,1,0,1,3,15
Home,ORL,W,31,10,3,9,33.3,2,4,50.0,2,3,66.7,0,3,3,13,1,1,6,1,11
Away,BKN,L,16,10,4,11,36.4,1,2,50.0,1,1,100,1,1,2,4,0,0,0,0,-21
Home,NOP,W,33,18,6,18,33.3,4,8,50.0,2,4,50.0,2,4,6,10,1,0,5,2,4
Home,CLE,L,32,15,6,16,37.5,2,5,40.0,1,2,50.0,2,8,10,6,1,2,3,0,-2
Home,LAC,W,30,15,5,16,31.3,1,6,16.7,4,7,57.1,0,6,6,5,2,2,5,3,4
Home,MEM,W,28,13,6,15,40.0,1,3,33.3,0,4,0.0,0,1,1,4,2,1,2,2,11
Away,CHA,L,41,31,13,26,50.0,0,5,0.0,5,6,83.3,1,0,1,11,1,1,1,4,-2
Away,MIL,W,31,15,5,13,38.5,1,3,33.3,4,5,80.0,0,1,1,6,0,0,2,1,3
Home,MIA,L,35,8,3,12,25.0,2,7,28.6,0,0,0.0,0,3,3,8,0,0,3,1,-5
Away,MIA,W,38,27,9,21,42.9,2,3,66.7,7,8,87.5,1,3,4,6,1,2,1,2,18
Home,SAC,W,27,21,8,10,80.0,4,4,100,1,1,100,0,2,2,9,1,0,2,2,23
Home,ATL,W,24,13,4,8,50.0,0,1,0.0,5,6,83.3,0,5,5,5,1,2,2,4,9
Home,LAL,W,32,23,8,18,44.4,0,2,0.0,7,7,100,1,7,8,5,2,3,2,3,21
Home,DAL,L,37,23,5,10,50.0,0,1,0.0,13,18,72.2,0,3,3,14,1,1,4,3,-12
Home,CLE,L,38,13,4,13,30.8,0,3,0.0,5,12,41.7,0,6,6,15,1,1,1,0,-8
Home,PHX,L,36,21,10,18,55.6,1,4,25.0,0,4,0.0,0,5,5,6,3,1,4,5,4
Away,SAC,W,26,19,7,12,58.3,5,6,83.3,0,0,0.0,1,1,2,9,1,1,6,0,26
Away,GSW,L,38,20,7,20,35.0,2,7,28.6,4,6,66.7,0,2,2,14,1,1,4,3,6
Away,LAL,L,41,18,7,22,31.8,1,5,20.0,3,4,75.0,0,3,3,9,1,0,4,1,-12
Away,DEN,W,35,19,3,13,23.1,0,3,0.0,13,15,86.7,0,1,1,12,2,1,2,2,5
Home,DET,W,34,26,8,12,66.7,1,3,33.3,9,11,81.8,0,3,3,10,1,2,8,1,4
Home,PHI,W,37,28,10,28,35.7,0,3,0.0,8,9,88.9,2,3,5,8,0,2,2,2,19
