Court Advantage, Opponent, W/L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, STL, BLK, TOV, PF, PM
Home,IND,L,16,7,3,6,50.0,1,3,33.3,0,0,0.0,1,3,4,1,1,0,3,0,11
Away,MIN,W,30,23,9,15,60.0,3,7,42.9,2,2,100,1,6,7,8,2,1,4,2,5
Away,HOU,L,35,18,6,17,35.3,2,7,28.6,4,5,80.0,0,3,3,6,1,0,3,4,-17
Home,CHA,W,25,34,13,18,72.2,4,6,66.7,4,4,100,1,3,4,5,1,0,1,1,18
Home,MEM,W,25,25,8,13,61.5,5,8,62.5,4,4,100,0,6,6,5,0,0,2,2,7
Away,NYK,W,35,31,11,22,50.0,6,12,50.0,3,4,75.0,1,8,9,8,2,0,2,1,22
Away,DET,W,29,18,7,14,50.0,4,9,44.4,0,0,0.0,0,5,5,6,1,0,1,2,4
Home,LAC,L,38,33,11,21,52.4,5,7,71.4,6,6,100,0,1,1,8,1,0,4,3,-14
Home,CLE,L,26,18,7,14,50.0,1,7,14.3,3,4,75.0,0,3,3,5,0,0,2,0,-19
Home,IND,L,31,21,8,18,44.4,2,7,28.6,3,3,100,1,1,2,5,0,0,2,3,-1
Away,WAS,W,33,28,9,19,47.4,1,5,20.0,9,10,90.0,0,5,5,6,1,1,3,0,-2
Away,TOR,L,22,17,6,12,50.0,2,6,33.3,3,3,100,0,0,0,3,0,0,0,1,-22
Away,DEN,W,37,27,11,17,64.7,2,4,50.0,3,3,100,0,3,3,6,1,0,2,4,-2
Away,GSW,L,36,37,13,18,72.2,5,6,83.3,6,8,75.0,0,2,2,4,1,0,3,3,0
Away,LAC,W,28,20,7,16,43.8,2,8,25.0,4,4,100,0,8,8,7,1,0,1,0,2
Away,LAL,L,38,33,13,24,54.2,4,11,36.4,3,3,100,0,3,3,4,0,0,1,1,16
Home,ORL,L,40,40,14,23,60.9,5,7,71.4,7,8,87.5,2,5,7,5,0,1,1,1,6
Home,NOP,L,41,27,8,24,33.3,5,12,41.7,6,7,85.7,1,6,7,2,2,0,6,2,-8
Away,PHI,W,31,20,7,20,35.0,3,10,30.0,3,3,100,1,5,6,7,0,0,5,2,22
Away,BKN,W,38,21,8,22,36.4,2,6,33.3,3,4,75.0,1,5,6,4,0,1,0,1,7
Home,MIN,W,37,16,6,16,37.5,1,4,25.0,3,4,75.0,1,8,9,8,2,0,2,4,2
Home,CLE,W,28,11,5,14,35.7,0,5,0.0,1,2,50.0,0,9,9,6,1,0,2,2,18
Home,BKN,W,34,28,10,21,47.6,4,10,40.0,4,4,100,1,7,8,2,2,1,4,3,7
Home,HOU,W,38,26,9,18,50.0,1,6,16.7,7,8,87.5,3,1,4,4,2,1,6,3,7
Away,CHA,W,31,21,8,19,42.1,3,7,42.9,2,2,100,1,1,2,8,0,0,1,2,4
Home,WAS,L,34,20,8,18,44.4,2,6,33.3,2,2,100,2,2,4,5,0,0,2,0,-14
Home,CHI,W,28,25,9,15,60.0,5,7,71.4,2,2,100,1,2,3,7,2,0,1,1,33
Away,NYK,L,37,32,12,27,44.4,6,15,40.0,2,2,100,0,3,3,4,1,0,1,2,-6
Home,MIA,L,37,33,11,24,45.8,3,9,33.3,8,8,100,0,4,4,5,1,1,3,1,4
Away,IND,W,29,30,12,23,52.2,5,8,62.5,1,2,50.0,0,1,1,4,0,0,3,4,-5
Away,MEM,W,30,20,7,17,41.2,4,9,44.4,2,2,100,0,2,2,6,0,0,3,3,20
Home,UTA,L,37,33,11,25,44.0,2,8,25.0,9,9,100,0,4,4,6,0,0,2,3,-10
Home,DEN,W,33,33,12,19,63.2,4,9,44.4,5,6,83.3,0,1,1,7,1,2,3,4,-5
Away,DET,W,34,16,4,12,33.3,3,4,75.0,5,5,100,0,3,3,3,0,0,2,2,13
Away,SAS,L,36,36,13,21,61.9,6,10,60.0,4,4,100,1,0,1,1,1,0,1,2,8
Home,DAL,W,32,23,10,18,55.6,1,6,16.7,2,2,100,1,1,2,5,0,2,4,2,11
Home,MIL,W,34,32,13,24,54.2,2,4,50.0,4,5,80.0,1,3,4,1,2,0,3,2,0
Home,PHX,W,31,19,8,14,57.1,2,3,66.7,1,1,100,0,0,0,5,2,0,3,1,8
Home,PHI,W,33,36,12,21,57.1,5,8,62.5,7,8,87.5,1,3,4,3,0,0,2,1,2
Home,DET,L,36,18,6,16,37.5,1,6,16.7,5,7,71.4,0,4,4,9,0,0,6,5,-21
Away,IND,W,34,25,11,20,55.0,1,4,25.0,2,2,100,1,3,4,6,1,0,3,1,9
Home,ORL,W,25,30,9,15,60.0,2,4,50.0,10,10,100,0,4,4,3,1,0,1,2,18
Away,MIA,L,33,23,11,22,50.0,0,3,0.0,1,4,25.0,1,0,1,3,3,0,1,2,-4
Away,DAL,W,39,47,16,22,72.7,5,7,71.4,10,11,90.9,1,2,3,6,1,0,3,3,21
Away,ATL,W,31,30,10,12,83.3,5,6,83.3,5,5,100,0,4,4,5,0,1,4,3,6
Home,GSW,W,34,16,4,16,25.0,1,5,20.0,7,8,87.5,0,5,5,6,1,1,1,2,-4
Away,BKN,W,29,25,8,20,40.0,2,5,40.0,7,8,87.5,1,2,3,5,1,0,2,1,10
Home,CHA,W,2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-6
Home,LAL,W,33,19,7,21,33.3,0,7,0.0,5,5,100,0,6,6,5,1,0,2,3,2
Away,ATL,W,37,35,14,22,63.6,4,10,40.0,3,4,75.0,0,3,3,7,0,0,2,3,5
Away,ORL,W,28,11,4,13,30.8,0,4,0.0,3,4,75.0,0,0,0,5,1,0,1,3,8
Away,OKC,W,34,25,10,22,45.5,3,7,42.9,2,3,66.7,1,4,5,6,2,1,0,1,15
Home,SAC,W,27,22,8,17,47.1,4,9,44.4,2,2,100,0,0,0,5,4,0,1,1,22
Home,SAS,W,30,24,10,16,62.5,3,7,42.9,1,1,100,0,2,2,6,3,1,1,3,25
Away,MIA,W,34,24,10,23,43.5,2,8,25.0,2,2,100,0,4,4,3,3,1,2,0,4
Away,MIL,W,35,24,10,18,55.6,2,4,50.0,2,2,100,0,3,3,7,2,1,2,3,4
Home,NYK,W,30,20,5,13,38.5,1,5,20.0,9,9,100,0,3,3,7,1,0,3,2,13
Away,PHI,W,36,21,7,17,41.2,1,4,25.0,6,7,85.7,2,4,6,4,2,0,5,4,2
Home,MIL,L,39,17,7,25,28.0,2,7,28.6,1,2,50.0,1,3,4,3,3,0,3,1,-2
Away,CLE,L,39,22,8,17,47.1,4,9,44.4,2,2,100,2,2,4,10,3,0,2,4,-2
