Court Advantage, Opponent, W/L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, STL, BLK, TOV, PF, PM
Home,MEM,W,37,6,2,9,22.2,0,2,0.0,2,3,66.7,3,17,20,19,2,0,5,0,17
Away,MIA,W,38,23,8,21,38.1,2,5,40.0,5,6,83.3,3,15,18,13,1,0,6,3,12
Away,HOU,W,38,24,10,28,35.7,1,3,33.3,3,5,60.0,5,2,7,10,4,1,4,4,3
Home,GSW,L,41,44,15,26,57.7,3,7,42.9,11,12,91.7,5,11,16,6,2,0,6,3,3
Away,NOP,W,37,26,9,17,52.9,0,1,0.0,8,11,72.7,1,14,15,13,2,0,7,5,15
Home,DEN,L,44,33,12,32,37.5,4,9,44.4,5,8,62.5,3,6,9,13,2,1,2,2,2
Away,SAS,L,38,19,7,19,36.8,0,4,0.0,5,8,62.5,1,10,11,5,3,1,7,5,7
Home,POR,L,36,23,9,20,45.0,1,2,50.0,4,6,66.7,1,7,8,9,4,0,3,6,-2
Home,MIA,W,36,29,9,15,60.0,2,2,100,9,10,90.0,0,13,13,8,1,0,5,4,-3
Away,BOS,L,37,27,9,21,42.9,2,5,40.0,7,11,63.6,2,6,8,7,1,0,5,2,5
Away,TOR,W,37,37,15,22,68.2,1,1,100,6,8,75.0,5,8,13,14,2,0,5,3,17
Home,LAC,W,37,16,7,17,41.2,0,1,0.0,2,2,100,1,9,10,11,0,0,6,3,-1
Away,ATL,W,35,32,12,20,60.0,0,0,0.0,8,10,80.0,4,8,12,12,1,1,4,3,20
Home,SAC,W,36,17,7,19,36.8,2,3,66.7,1,3,33.3,0,10,10,11,0,0,2,2,4
Home,SAS,W,36,21,7,15,46.7,0,1,0.0,7,11,63.6,1,11,12,10,1,0,5,1,1
Home,PHX,W,29,27,11,14,78.6,0,0,0.0,5,7,71.4,0,8,8,9,0,0,2,1,27
Home,HOU,L,39,32,15,27,55.6,0,4,0.0,2,2,100,2,2,4,7,1,1,9,4,-4
Away,POR,L,35,30,12,31,38.7,1,5,20.0,5,7,71.4,2,9,11,6,0,1,4,4,-7
