Court Advantage, Opponent, W/L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, STL, BLK, TOV, PF, PM
Home,ATL,W,25,29,10,18,55.6,3,8,37.5,6,6,100,1,6,7,1,0,1,1,1,9
Home,SAS,W,2,2,0,1,0.0,0,0,0.0,2,2,100,0,0,0,0,0,0,0,0,-1
Home,BKN,W,34,34,12,20,60.0,6,12,50.0,4,5,80.0,1,5,6,4,3,1,3,2,11
Away,ATL,W,23,28,8,15,53.3,4,9,44.4,8,8,100,0,1,1,3,2,0,0,0,2
Away,WAS,W,35,25,5,15,33.3,4,9,44.4,11,12,91.7,0,5,5,3,2,0,6,3,20
Away,NYK,W,30,21,8,16,50.0,4,9,44.4,1,1,100,0,5,5,5,0,0,3,1,25
Home,OKC,W,30,21,8,19,42.1,5,12,41.7,0,0,0.0,1,8,9,6,3,0,2,2,24
Home,LAC,W,37,44,14,19,73.7,8,11,72.7,8,8,100,1,5,6,10,2,0,4,4,8
Away,POR,L,34,17,6,17,35.3,3,10,30.0,2,2,100,2,2,4,6,3,0,7,4,-7
Home,PHX,W,30,22,8,17,47.1,3,9,33.3,3,3,100,2,7,9,7,0,1,3,3,21
Home,SAS,W,29,17,7,13,53.8,3,7,42.9,0,0,0.0,1,3,4,8,2,0,2,0,6
Home,DAL,W,30,20,7,12,58.3,4,9,44.4,2,2,100,2,5,7,8,0,0,4,1,3
Home,OKC,L,32,21,6,14,42.9,2,9,22.2,7,7,100,1,4,5,5,1,1,3,3,-14
Away,DEN,L,36,24,8,16,50.0,5,12,41.7,3,4,75.0,1,5,6,4,2,0,5,2,4
Away,SAC,W,36,23,7,17,41.2,3,10,30.0,6,6,100,1,4,5,6,2,0,6,3,14
Away,UTA,L,30,14,4,13,30.8,1,7,14.3,5,5,100,1,1,2,5,0,0,3,1,-17
Home,BOS,W,37,49,16,24,66.7,8,13,61.5,9,10,90.0,0,4,4,5,2,0,1,2,6
Home,MIN,W,37,25,9,14,64.3,5,9,55.6,2,3,66.7,2,3,5,9,3,0,2,2,20
Home,NYK,W,33,32,9,19,47.4,8,15,53.3,6,6,100,0,6,6,7,0,0,1,2,4
Away,HOU,L,36,19,6,20,30.0,5,15,33.3,2,4,50.0,0,1,1,8,2,0,6,2,-11
Away,CHI,W,35,30,10,18,55.6,6,11,54.5,4,4,100,0,9,9,4,1,0,6,2,21
Away,CLE,W,33,23,8,15,53.3,4,8,50.0,3,4,75.0,1,3,4,8,2,0,3,3,13
Away,TOR,W,34,24,6,12,50.0,2,7,28.6,10,12,83.3,0,6,6,9,1,0,1,3,-5
Home,DEN,W,35,32,9,17,52.9,5,10,50.0,9,10,90.0,1,3,4,9,2,0,6,3,3
Away,LAC,W,30,45,11,21,52.4,8,16,50.0,15,16,93.8,2,4,6,3,3,0,2,2,28
Away,HOU,W,37,29,10,20,50.0,4,10,40.0,5,6,83.3,0,9,9,5,1,0,3,3,3
Away,DAL,W,34,32,11,19,57.9,6,13,46.2,4,5,80.0,0,5,5,8,1,0,3,1,7
Home,MEM,W,26,38,13,17,76.5,10,13,76.9,2,2,100,0,4,4,3,0,0,0,2,24
Away,NOP,W,34,31,9,19,47.4,5,11,45.5,8,9,88.9,2,3,5,11,1,0,2,5,-1
Away,MIA,W,30,30,11,16,68.8,5,9,55.6,3,4,75.0,0,2,2,3,2,0,0,1,20
Away,ORL,W,33,23,9,20,45.0,3,8,37.5,2,2,100,1,5,6,10,3,0,4,2,19
Away,LAL,W,39,28,9,20,45.0,3,9,33.3,7,8,87.5,0,5,5,7,0,0,5,4,4
Home,NOP,W,36,27,9,25,36.0,3,13,23.1,6,6,100,0,4,4,6,1,0,1,2,5
Home,CHI,W,27,33,10,18,55.6,4,11,36.4,9,9,100,0,7,7,4,2,0,2,2,39
Away,OKC,L,31,24,9,18,50.0,3,8,37.5,3,3,100,1,4,5,6,1,0,6,1,-17
Away,BKN,W,33,39,14,24,58.3,4,10,40.0,7,8,87.5,3,8,11,7,3,0,7,6,4
