Team, Position, Player Name, Height, Weight, Birth Date
Boston Celtics,C,Aron Baynes,6 ft 10 in (2.08 m),260 lb (118 kg),1986–12–09
Boston Celtics,G,Jabari Bird,6 ft 6 in (1.98 m),200 lb (91 kg),1994–07–03
Boston Celtics,G/F,Jaylen Brown,6 ft 7 in (2.01 m),225 lb (102 kg),1996–10–24
Boston Celtics,F,Gordon Hayward,6 ft 8 in (2.03 m),226 lb (103 kg),1990–03–23
Boston Celtics,F/C,Al Horford,6 ft 10 in (2.08 m),245 lb (111 kg),1986–06–03
Boston Celtics,G,Kyrie Irving,6 ft 3 in (1.91 m),193 lb (88 kg),1992–03–23
Boston Celtics,G,Walter Lemon,6 ft 3 in (1.91 m),180 lb (82 kg),1992–07–26
Boston Celtics,F,Marcus Morris,6 ft 9 in (2.06 m),235 lb (107 kg),1989–09–02
Boston Celtics,F,Semi Ojeleye,6 ft 7 in (2.01 m),235 lb (107 kg),1994–12–05
Boston Celtics,G,Terry Rozier,6 ft 2 in (1.88 m),190 lb (86 kg),1994–03–17
Boston Celtics,G,Marcus Smart,6 ft 4 in (1.93 m),220 lb (100 kg),1994–03–06
Boston Celtics,F,Jayson Tatum,6 ft 8 in (2.03 m),205 lb (93 kg),1998–03–03
Boston Celtics,F/C,Daniel Theis,6 ft 9 in (2.06 m),243 lb (110 kg),1992–04–04
Boston Celtics,G,Brad Wanamaker,6 ft 4 in (1.93 m),209 lb (95 kg),1989–07–25
Boston Celtics,F,Robert Williams,6 ft 10 in (2.08 m),241 lb (109 kg),1997–10–17
Boston Celtics,F,Guerschon Yabusele,6 ft 8 in (2.03 m),260 lb (118 kg),1995–12–17
Brooklyn Nets,C,Jarrett Allen,6 ft 11 in (2.11 m),234 lb (106 kg),1998–04–21
Brooklyn Nets,F,DeMarre Carroll,6 ft 8 in (2.03 m),215 lb (98 kg),1986–07–27
Brooklyn Nets,G/F,Allen Crabbe,6 ft 6 in (1.98 m),215 lb (98 kg),1992–04–09
Brooklyn Nets,G,Spencer Dinwiddie,6 ft 6 in (1.98 m),200 lb (91 kg),1993–04–06
Brooklyn Nets,F/C,Ed Davis,6 ft 10 in (2.08 m),245 lb (111 kg),1989–06–05
Brooklyn Nets,F,Jared Dudley,6 ft 7 in (2.01 m),240 lb (109 kg),1985–07–10
Brooklyn Nets,F,Kenneth Faried,6 ft 8 in (2.03 m),228 lb (103 kg),1989–11–19
Brooklyn Nets,G/F,Treveon Graham,6 ft 5 in (1.96 m),219 lb (99 kg),1993–10–28
Brooklyn Nets,G/F,Joe Harris,6 ft 6 in (1.98 m),219 lb (99 kg),1991–09–07
Brooklyn Nets,F,Rondae Hollis-Jefferson,6 ft 7 in (2.01 m),214 lb (97 kg),1995–01–03
Brooklyn Nets,F,Rodions Kurucs,6 ft 9 in (2.06 m),220 lb (100 kg),1998–02–05
Brooklyn Nets,G/F,Caris LeVert,6 ft 7 in (2.01 m),203 lb (92 kg),1994–08–25
Brooklyn Nets,G/F,Dzanan Musa,6 ft 9 in (2.06 m),201 lb (91 kg),1999–05–08
Brooklyn Nets,G,Shabazz Napier,6 ft 1 in (1.85 m),175 lb (79 kg),1991–07–14
Brooklyn Nets,G,D'Angelo Russell,6 ft 5 in (1.96 m),195 lb (88 kg),1996–02–23
New York Knicks,G,Kadeem Allen,6 ft 3 in (1.91 m),200 lb (91 kg),1993–01–15
New York Knicks,G,Ron Baker,6 ft 4 in (1.93 m),220 lb (100 kg),1993–03–30
New York Knicks,G,Trey Burke,6 ft 1 in (1.85 m),191 lb (87 kg),1992–11–12
New York Knicks,G,Damyean Dotson,6 ft 5 in (1.96 m),210 lb (95 kg),1994–05–06
New York Knicks,G/F,Tim Hardaway,6 ft 6 in (1.98 m),205 lb (93 kg),1992–03–16
New York Knicks,G/F,Mario Hezonja,6 ft 8 in (2.03 m),218 lb (99 kg),1995–02–25
New York Knicks,F,Isaiah Hicks,6 ft 9 in (2.06 m),242 lb (110 kg),1994–07–24
New York Knicks,C,Enes Kanter,6 ft 11 in (2.11 m),245 lb (111 kg),1992–05–20
New York Knicks,F,Kevin Knox,6 ft 9 in (2.06 m),212 lb (96 kg),1999–08–11
New York Knicks,F/C,Luke Kornet,7 ft 1 in (2.16 m),250 lb (113 kg),1995–07–15
New York Knicks,G,Courtney Lee,6 ft 5 in (1.96 m),200 lb (91 kg),1985–10–03
New York Knicks,G,Emmanuel Mudiay,6 ft 5 in (1.96 m),200 lb (91 kg),1996–03–05
New York Knicks,C,Joakim Noah,6 ft 11 in (2.11 m),230 lb (104 kg),1985–02–25
New York Knicks,G,Frank Ntilikina,6 ft 5 in (1.96 m),190 lb (86 kg),1998–07–28
New York Knicks,F/C,Kristaps Porzingis,7 ft 3 in (2.21 m),240 lb (109 kg),1995–08–02
New York Knicks,C,Mitchell Robinson,7 ft 1 in (2.16 m),225 lb (102 kg),1998–04–01
New York Knicks,F,Lance Thomas,6 ft 8 in (2.03 m),235 lb (107 kg),1988–04–24
New York Knicks,G,Allonzo Trier,6 ft 5 in (1.96 m),205 lb (93 kg),1996–01–17
New York Knicks,F,Noah Vonleh,6 ft 9 in (2.06 m),245 lb (111 kg),1995–08–24
Philadelphia 76ers,G,Jerryd Bayless,6 ft 3 in (1.91 m),200 lb (91 kg),1988–08–20
Philadelphia 76ers,F,Jonah Bolden,6 ft 10 in (2.08 m),220 lb (100 kg),1996–01–02
Philadelphia 76ers,F,Wilson Chandler,6 ft 9 in (2.06 m),225 lb (102 kg),1987–05–10
Philadelphia 76ers,F,Robert Covington,6 ft 9 in (2.06 m),225 lb (102 kg),1990–12–14
Philadelphia 76ers,C,Joel Embiid,7 ft 0 in (2.13 m),250 lb (113 kg),1994–03–16
Philadelphia 76ers,G,Markelle Fultz,6 ft 4 in (1.93 m),200 lb (91 kg),1998–05–29
Philadelphia 76ers,G,Demetrius Jackson,6 ft 1 in (1.85 m),201 lb (91 kg),1994–09–07
Philadelphia 76ers,F/C,Amir Johnson,6 ft 9 in (2.06 m),240 lb (109 kg),1987–05–01
Philadelphia 76ers,G/F,Furkan Korkmaz,6 ft 7 in (2.01 m),190 lb (86 kg),1997–07–24
Philadelphia 76ers,G,T. J. McConnell,6 ft 2 in (1.88 m),190 lb (86 kg),1992–03–25
Philadelphia 76ers,G,Shake Milton,6 ft 6 in (1.98 m),207 lb (94 kg),1996–09–26
Philadelphia 76ers,F/C,Mike Muscala,6 ft 11 in (2.11 m),240 lb (109 kg),1991–07–01
Philadelphia 76ers,G/F,J. J. Redick,6 ft 4 in (1.93 m),200 lb (91 kg),1984–06–24
Philadelphia 76ers,F,Dario Saric,6 ft 10 in (2.08 m),223 lb (101 kg),1994–04–08
Philadelphia 76ers,G,Landry Shamet,6 ft 5 in (1.96 m),188 lb (85 kg),1997–03–13
Philadelphia 76ers,G/F,Ben Simmons,6 ft 10 in (2.08 m),230 lb (104 kg),1996–07–20
Philadelphia 76ers,G,Zhaire Smith,6 ft 4 in (1.93 m),199 lb (90 kg),1999–06–04
Toronto Raptors,F,OG Anunoby,6 ft 8 in (2.03 m),235 lb (107 kg),1997–07–17
Toronto Raptors,F,Chris Boucher,6 ft 10 in (2.08 m),200 lb (91 kg),1993–01–11
Toronto Raptors,G,Lorenzo Brown,6 ft 5 in (1.96 m),189 lb (86 kg),1990–08–26
Toronto Raptors,G/F,Danny Green,6 ft 6 in (1.98 m),215 lb (98 kg),1987–06–22
Toronto Raptors,F/C,Serge Ibaka,6 ft 10 in (2.08 m),235 lb (107 kg),1989–09–18
Toronto Raptors,F,Kawhi Leonard,6 ft 7 in (2.01 m),230 lb (104 kg),1991–06–29
Toronto Raptors,G,Kyle Lowry,6 ft 0 in (1.83 m),205 lb (93 kg),1986–03–25
Toronto Raptors,G/F,C. J. Miles,6 ft 6 in (1.98 m),225 lb (102 kg),1987–03–18
Toronto Raptors,G/F,Norman Powell,6 ft 4 in (1.93 m),215 lb (98 kg),1993–05–25
Toronto Raptors,G,Malachi Richardson,6 ft 6 in (1.98 m),205 lb (93 kg),1996–01–05
Toronto Raptors,F,Pascal Siakam,6 ft 9 in (2.06 m),230 lb (104 kg),1994–04–02
Toronto Raptors,C,Jonas Valanciunas,7 ft 0 in (2.13 m),255 lb (116 kg),1992–05–06
Toronto Raptors,G,Fred VanVleet,6 ft 0 in (1.83 m),195 lb (88 kg),1994–02–25
Toronto Raptors,G,Delon Wright,6 ft 5 in (1.96 m),190 lb (86 kg),1992–04–26
Chicago Bulls,G,Rawle Alkins,6 ft 5 in (1.96 m),225 lb (102 kg),1997–10–29
Chicago Bulls,C,Omer Ask,7 ft 0 in (2.13 m),255 lb (116 kg),1986–07–04
Chicago Bulls,G,Antonio Blakeney,6 ft 4 in (1.93 m),197 lb (89 kg),1996–10–04
Chicago Bulls,F,Wendell Carter,6 ft 10 in (2.08 m),251 lb (114 kg),1999–04–16
Chicago Bulls,G,Antonius Cleveland,6 ft 6 in (1.98 m),195 lb (88 kg),1994–02–02
Chicago Bulls,G,Kris Dunn,6 ft 4 in (1.93 m),210 lb (95 kg),1994–03–18
Chicago Bulls,F/C,Cristiano Felicio,6 ft 9 in (2.06 m),280 lb (127 kg),1992–07–07
Chicago Bulls,G/F,Justin Holiday,6 ft 6 in (1.98 m),185 lb (84 kg),1989–04–05
Chicago Bulls,F,Chandler Hutchison,6 ft 7 in (2.01 m),197 lb (89 kg),1996–04–26
Chicago Bulls,G,Zach LaVine,6 ft 5 in (1.96 m),185 lb (84 kg),1995–03–10
Chicago Bulls,C,Robin Lopez,7 ft 0 in (2.13 m),277 lb (126 kg),1988–04–01
Chicago Bulls,F,Lauri Markkanen,7 ft 0 in (2.13 m),230 lb (104 kg),1997–05–22
Chicago Bulls,F,Jabari Parker,6 ft 8 in (2.03 m),250 lb (113 kg),1995–05–15
Chicago Bulls,G,Cameron Payne,6 ft 3 in (1.91 m),185 lb (84 kg),1994–08–08
Chicago Bulls,F,Bobby Portis,6 ft 11 in (2.11 m),248 lb (112 kg),1995–02–10
Chicago Bulls,F,Denzel Valentine,6 ft 6 in (1.98 m),214 lb (97 kg),1993–11–16
Cleveland Cavaliers,G,Jordan Clarkson,6 ft 5 in (1.96 m),194 lb (88 kg),1992–06–07
Cleveland Cavaliers,F,Channing Frye,6 ft 11 in (2.11 m),255 lb (116 kg),1983–05–17
Cleveland Cavaliers,G,George Hill,6 ft 3 in (1.91 m),188 lb (85 kg),1986–05–04
Cleveland Cavaliers,G/F,John Holland,6 ft 5 in (1.96 m),205 lb (93 kg),1988–11–06
Cleveland Cavaliers,F,Rodney Hood,6 ft 8 in (2.03 m),206 lb (93 kg),1992–10–20
Cleveland Cavaliers,G,Kyle Korver,6 ft 7 in (2.01 m),212 lb (96 kg),1981–03–17
Cleveland Cavaliers,F/C,Kevin Love,6 ft 10 in (2.08 m),251 lb (114 kg),1988–09–07
Cleveland Cavaliers,F,Larry Nance,6 ft 9 in (2.06 m),230 lb (104 kg),1993–01–01
Cleveland Cavaliers,F,Cedi Osman,6 ft 8 in (2.03 m),215 lb (98 kg),1995–04–08
Cleveland Cavaliers,F,Billy Preston,6 ft 10 in (2.08 m),240 lb (109 kg),1997–10–26
Cleveland Cavaliers,G,Collin Sexton,6 ft 2 in (1.88 m),183 lb (83 kg),1999–01–04
Cleveland Cavaliers,G,J. R. Smith,6 ft 6 in (1.98 m),225 lb (102 kg),1985–09–09
Cleveland Cavaliers,F/C,Tristan Thompson,6 ft 9 in (2.06 m),238 lb (108 kg),1991–03–13
Cleveland Cavaliers,F,Okaro White,6 ft 8 in (2.03 m),215 lb (98 kg),1992–08–13
Cleveland Cavaliers,F/C,Ante Zizic,6 ft 11 in (2.11 m),250 lb (113 kg),1997–01–04
Detroit Pistons,G,Bruce Brown,6 ft 5 in (1.96 m),202 lb (92 kg),1996–08–15
Detroit Pistons,G/F,Reggie Bullock,6 ft 7 in (2.01 m),205 lb (93 kg),1991–03–16
Detroit Pistons,G,Jose Calderon,6 ft 3 in (1.91 m),200 lb (91 kg),1981–09–28
Detroit Pistons,C,Andre Drummond,6 ft 11 in (2.11 m),279 lb (127 kg),1993–08–10
Detroit Pistons,F,Henry Ellenson,6 ft 11 in (2.11 m),245 lb (111 kg),1997–01–13
Detroit Pistons,G,Keenan Evans,6 ft 3 in (1.91 m),190 lb (86 kg),1996–08–23
Detroit Pistons,G,Langston Galloway,6 ft 2 in (1.88 m),200 lb (91 kg),1991–12–09
Detroit Pistons,F,Blake Griffin,6 ft 10 in (2.08 m),251 lb (114 kg),1989–03–16
Detroit Pistons,F,Reggie Hearn,6 ft 5 in (1.96 m),210 lb (95 kg),1991–08–14
Detroit Pistons,G,Reggie Jackson,6 ft 3 in (1.91 m),208 lb (94 kg),1990–04–16
Detroit Pistons,F,Stanley Johnson,6 ft 7 in (2.01 m),245 lb (111 kg),1996–05–29
Detroit Pistons,G,Luke Kennard,6 ft 5 in (1.96 m),200 lb (91 kg),1996–06–24
Detroit Pistons,F/C,Jon Leuer,6 ft 10 in (2.08 m),228 lb (103 kg),1989–05–14
Detroit Pistons,C,Zaza Pachulia,6 ft 11 in (2.11 m),270 lb (122 kg),1984–02–10
Detroit Pistons,G/F,Glenn Robinson,6 ft 7 in (2.01 m),215 lb (98 kg),1994–01–08
Detroit Pistons,G,Ish Smith,6 ft 0 in (1.83 m),175 lb (79 kg),1988–07–05
Detroit Pistons,G,Khyri Thomas,6 ft 4 in (1.93 m),199 lb (90 kg),1996–05–08
Indiana Pacers,F/C,Ike Anigbogu,6 ft 10 in (2.08 m),262 lb (119 kg),1998–10–22
Indiana Pacers,G/F,Bojan Bogdanovic,6 ft 8 in (2.03 m),230 lb (104 kg),1989–04–18
Indiana Pacers,G,Darren Collison,6 ft 2 in (1.88 m),185 lb (84 kg),1987–08–23
Indiana Pacers,G/F,Tyreke Evans,6 ft 6 in (1.98 m),220 lb (100 kg),1989–09–19
Indiana Pacers,G,Aaron Holiday,6 ft 1 in (1.85 m),187 lb (85 kg),1996–09–30
Indiana Pacers,F,Alize Johnson,6 ft 8 in (2.03 m),216 lb (98 kg),1996–04–22
Indiana Pacers,G,Cory Joseph,6 ft 3 in (1.91 m),190 lb (86 kg),1991–08–20
Indiana Pacers,F,T. J. Leaf,6 ft 10 in (2.08 m),230 lb (104 kg),1997–04–30
Indiana Pacers,F,Doug McDermott,6 ft 8 in (2.03 m),219 lb (99 kg),1992–01–03
Indiana Pacers,G,Victor Oladipo,6 ft 4 in (1.93 m),210 lb (95 kg),1992–05–04
Indiana Pacers,F/C,Kyle O'Quinn,6 ft 10 in (2.08 m),250 lb (113 kg),1990–03–26
Indiana Pacers,F/C,Domantas Sabonis,6 ft 10 in (2.08 m),252 lb (114 kg),1996–05–03
Indiana Pacers,G,Edmond Sumner,6 ft 5 in (1.96 m),188 lb (85 kg),1995–12–31
Indiana Pacers,C,Myles Turner,6 ft 11 in (2.11 m),255 lb (116 kg),1996–03–24
Milwaukee Bucks,F,Giannis Antetokounmpo,6 ft 11 in (2.11 m),222 lb (101 kg),1994–12–06
Milwaukee Bucks,G,Eric Bledsoe,6 ft 1 in (1.85 m),205 lb (93 kg),1989–12–09
Milwaukee Bucks,G,Malcolm Brogdon,6 ft 5 in (1.96 m),215 lb (98 kg),1992–12–11
Milwaukee Bucks,G,Sterling Brown,6 ft 6 in (1.98 m),230 lb (104 kg),1995–02–10
